player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Jihad Ward,10678,ED,NYG,17,0,1,21,53.9,3,11,313,87.2,4.8,15,2,4.2,6,376,328,20,0,65.4,1,5,114,84.5,9.6,11,7.9,6,148,125,12,,,,,,
Tanoh Kpassagnon,11814,ED,NO,17,0,0,20,65,5,25,251,98.9,11.6,29,0,7.6,4,267,264,34,0,71.2,4,17,140,99.3,17.9,25,10.4,4,151,150,25,,,,,,
Samson Ebukam,11880,ED,IND,17,0,0,14,72.6,8,30,431,98.7,14.4,62,1,6.7,10,456,450,48,0,74.5,4,22,237,100,19.4,46,8.9,8,247,247,34,,,,,,
Kentavius Street,48404,DI,ATL,13,1,0,2,59.5,0,7,150,98.8,6,9,1,3,1,160,158,8,0,62.1,0,4,65,98.6,9.2,6,4.6,1,71,70,5,,,,,,
Bradley Chubb,48526,ED,MIA,16,1,1,17,84.9,13,44,445,89.3,16.6,74,4,9.3,13,532,475,70,0,85,6,30,214,91.7,20.6,44,11.7,7,252,231,43,,,,,,
Frankie Luvu,51028,LB,CAR,17,1,0,5,90.1,5,8,100,19.8,19,19,0,13.5,7,526,104,20,0,84.8,3,5,45,24.3,17.8,8,22.2,6,202,49,14,,,,,,
Malcolm Koonce,55015,ED,LV,17,0,1,23,78.9,10,34,331,97.5,14.2,47,1,9.1,8,353,344,52,0,78,8,23,168,98.3,18.5,31,12.8,6,180,177,37,,,,,,
BJ Thompson,56330,ED,KC,1,0,0,16,59,0,1,20,100,10,2,0,2.5,0,20,20,1,0,60.4,0,0,8,100,12.5,1,0,0,8,8,0,,,,,,
Chris Rumph II,56345,ED,LAC,6,0,0,27,59.9,0,5,58,90,10.3,6,0,4.3,0,70,63,5,0,64.2,0,5,39,93.5,15.4,6,6.4,0,46,43,5,,,,,,
Earnest Brown IV,56428,DI,LA,7,0,0,26,59.6,0,2,30,100,10,3,0,3.3,0,31,31,2,0,62.1,0,2,14,100,14.3,2,7.1,0,14,14,2,,,,,,
Larrell Murchison,57004,DI,LA,16,0,0,26,46.2,0,5,127,100,3.9,5,0,2,0,133,133,5,0,56.6,0,2,44,100,9.1,4,2.3,0,47,47,2,,,,,,
Kyron Johnson,57890,ED,PIT,1,0,0,25,58.3,0,0,1,100,0,0,0,0,0,1,1,0,0,58.3,0,0,1,100,0,0,0,0,1,1,0,,,,,,
Drake Jackson,70839,ED,SF,8,1,0,28,64.1,0,11,146,98.7,11,16,0,5.8,3,157,155,14,0,67,0,10,85,100,14.1,12,9.4,3,89,89,13,,,,,,
Tyreke Smith,83513,ED,ARZ,3,0,0,1,54.1,0,0,6,100,0,0,0,0,0,6,6,0,0,57,0,0,2,100,0,0,0,0,2,2,0,,,,,,
Adetomiwa Adebawore,97934,DI,IND,9,0,0,14,62.5,2,2,66,100,7.6,5,1,6.1,2,70,70,6,0,66.6,1,2,27,100,14.8,4,9.3,1,30,30,4,,,,,,
Zach Harrison,98503,ED,ATL,16,0,0,2,51.2,2,8,151,98.8,6,9,0,5.3,3,166,164,13,0,49.4,0,1,51,100,5.9,3,4.9,2,56,56,3,,,,,,
Sam Williams,99106,ED,DAL,18,0,0,9,73,3,16,178,96,10.7,19,3,8.1,5,201,193,24,0,81.5,3,12,103,94.2,15.5,16,12.1,5,121,114,20,,,,,,
Mike Morris,101421,DI,SEA,1,0,0,29,60.7,0,0,11,100,9.1,1,0,0,0,11,11,0,0,52.9,0,0,7,100,0,0,0,0,7,7,0,,,,,,
Andrew Farmer,106311,ED,LAC,6,0,0,27,55.8,0,2,27,90.3,7.4,2,0,3.7,0,31,28,2,0,56.2,0,1,10,91.7,10,1,5,0,12,11,1,,,,,,
BJ Ojulari,124105,ED,ARZ,17,1,0,1,64.1,5,11,149,68.8,13.4,20,0,8.1,4,234,161,20,1,69.2,3,7,78,82.8,19.2,15,9,2,99,82,12,,,,,,
